pais_destino,Atraccion,categoria,turistas_anuales,rating,mejor_estacion,descripcion
ALEMANIA,Castillo de Neuschwanstein,"""castillo, historia, arquitectura, cultura """,1400000,4.8,Verano,"""El famoso castillo de cuento de hadas de Baviera, inspiración para Disney."""
ALEMANIA,Puerta de Brandeburgo,"""monumento, historia, ciudad, cultura""",7000000,4.5,Todo el año,"""El icónico símbolo de la reunificación alemana y monumento neoclásico en Berlín."""
ALEMANIA,Catedral de Colonia,"""religión, arquitectura, gótico, patrimonio unesco""",6000000,4.6,Todo el año,"""Obra maestra de la arquitectura gótica y el edificio más visitado de Alemania."""
ALEMANIA,Muro de Berlín (East Side Gallery),"""historia, arte urbano, monumento, ciudad""",3500000,4.4,Primavera,"""El segmento más largo conservado del muro, famoso por sus murales de arte urbano."""
ALEMANIA,Miniatur Wunderland Hamburg,"""ocio, modelismo, museo, ciudad""",1500000,4.9,Todo el año,"""El modelismo ferroviario más grande del mundo ubicado en el distrito de Speicherstadt."""
ALEMANIA,Selva Negra,"""naturaleza, aventura, bosque, montaña""",10000000,4.7,Verano,"""Vasto macizo montañoso en el suroeste, famoso por sus densos bosques y pueblos."""
ALEMANIA,Isla de los Museos (Berlín),"""museo, cultura, historia, arte, patrimonio unesco""",3000000,4.6,Todo el año,"""Un conjunto único de cinco museos de renombre mundial en el río Spree."""
ALEMANIA,Europa-Park (Rust),"""ocio, aventura, parque temático""",5800000,4.7,Primavera,"""El parque temático más grande de Alemania, con zonas temáticas de países europeos."""
ALEMANIA,Rothenburg ob der Tauber,"""pueblo, medieval, arquitectura, historia""",2000000,4.7,Todo el año,"""Ciudad medieval bávara, famosa por su ambiente de cuento de hadas."""
ALEMANIA,Speicherstadt (Hamburgo),"""arquitectura, patrimonio unesco, historia, ciudad""",2500000,4.5,Todo el año,"""El mayor complejo de almacenes del mundo, Patrimonio de la UNESCO con canales."""
AUSTRIA,Palacio de Schönbrunn,"""palacio, historia, arquitectura, patrimonio unesco""",3800000,4.8,Todo el año,"""Antigua residencia de verano de los Habsburgo en Viena y el palacio más visitado de Austria."""
AUSTRIA,Catedral de San Esteban (Viena),"""religion, arquitectura, gótico, monumento""",13000000,4.6,Todo el año,"""La iglesia más importante de Viena, famosa por su torre sur y su tejado de azulejos."""
AUSTRIA,Fortaleza Hohensalzburg,"""castillo, historia, arquitectura, medieval""",1500000,4.7,Todo el año,"""Una de las fortalezas medievales más grandes y mejor conservadas de Europa, con vistas panorámicas de Salzburgo."""
AUSTRIA,Hallstatt,"""pueblo, naturaleza, valle, patrimonio unesco""",1000000,4.9,Primavera,"""Pintoresco pueblo alpino junto a un lago, considerado uno de los lugares más fotogénicos de Europa."""
