pais_destino;temp_med;localizacion_pais;moneda;capital;ambiente_fiesta;coste_vida;poblacion;edad_media;comidas_tipicas
ALEMANIA;10.9;Oeste de Europa;Euro;Berlin;Alto;Alto;84079811;40.9;"Currywurst; Bratwurst; Sauerkraut"
AUSTRIA;9.26;Oeste de Europa;Euro;Viena;Medio;Alto;9042528;39.0;"Wiener Schnitzel; Sachertorte; Apfelstrudel"
BÉLGICA;11.77;Oeste de Europa;Euro;Bruselas;Alto;Alto;11669446;37.1;"Waffles; Patatas belgas; Chocolate"
BULGARIA;13.24;Este de Europa;Leva Bulgara;Sofia;Bajo;Muy Bajo;6465097;40.7;"Shopska Salata; Banitsa; Kyufte o Kebapche"
CHIPRE;20.18;Sur de Europa;Euro;Nicosia;Medio;Medio;1251488;34.1;"Meze; Halloumi; Souvla"
CROACIA;13.82;Sur de Europa;Kuna Croata;Zagreb;Bajo;Medio;3854000;40.0;"Peka; Cevapi o Cevapcici; Pasticada"
ESLOVAQUIA;11.08;Este de Europa;Euro;Bratislava;Medio;Bajo;5431752;36.0;"Bryndzove Halusky; Kapustnica; Zemiakove Placky"
ESLOVENIA;11.7;Sur de Europa;Euro;Liubliana;Bajo;Medio;2108732;39.5;"Kranjska Klobasa; Idrijski Zlikrofi; Potica"
ESTONIA;7.58;Norte de Europa;Euro;Tallin;Bajo;Medio;1344768;37.7;"Verivorst; Mulgikapsad; Kama"
FINLANDIA;3.59;Norte de Europa;Euro;Helsinki;Bajo;Alto;5556880;38.6;"Karjalanpiirakka; Lohikeitto; Poronkaristys"
FRANCIA;12.65;Oeste de Europa;Euro;Paris;Medio;Alto;67935660;37.9;"Croissants; Baguettes; Queso"
GRECIA;16.05;Sur de Europa;Euro;Atenas;Alto;Medio;10566531;41.1;"Gyros; Souvlaki; Moussaka"
HUNGRÍA;11.3;Este de Europa;Florin Hungaro;Budapest;Muy Alto;Bajo;9683505;38.1;"Goulash;Pollo Paprika;Langos"
IRLANDA;10.72;Norte de Europa;Euro;Dublin;Medio;Alto;5086988;33.9;"Irish Stew; Colcannon; Coddle"
ITALIA;14.58;Sur de Europa;Euro;Roma;Alto;Medio;58856847;43.2;"Pizza; Pasta; Helado"
LETONIA;8.51;Norte de Europa;Euro;Riga;Medio;Medio;1883379;39.8;"Pelekie Zirni ar Speki; Skabenu Zupa; Rupjmaizes Kartojums"
LITUANIA;9.21;Norte de Europa;Euro;Vilna;Medio;Medio;2833000;39.8;"Cepelinai; Saltibarsciai; Kibinai"
MALTA;20.62;Sur de Europa;Euro;Valeta;Medio;Medio;523417;35.3;"Pastizzi; Rabbit Stew; Imqaret"
NORUEGA;3.11;Norte de Europa;Corona Noruega;Oslo;Bajo;Muy alto;5457127;35.6;"Pescado; Reno; Queso Brunost"
PAÍSES BAJOS;11.77;Oeste de Europa;Euro;Amsterdam;Alto;Alto;17703090;37.9;"Stamppot; Haring; Pannenkoeken"
POLONIA;10.9;Este de Europa;Esloti polaco;Varsovia;Muy Alto;Bajo;37561599;36.3;"Pierogi; Bigos; Zurek"
PORTUGAL;16.9;Sur de Europa;Euro;Lisboa;Muy Alto;Bajo;10379007;41.4;"Bacalhau; Pastel de nata; Sardinha"
REINO UNIDO;9.78;Norte de Europa;Libra esterlina;Londres;Medio;Alto;66971411;35.9;"Fish and chips; Sunday roast; Afternoon tea"
REPÚBLICA CHECA;10.59;Este de Europa;Corona Checa;Praga;Muy Alto;Medio;10526073;38.8;"Vepro-Knedlo-Zelo; Svickova na Smetane; Bramboraky"
RUMANÍA;12.1;Este de Europa;Leu Rumano;Bucarest;Alto;Muy Bajo;18956666;37.4;"Sarmale; Mamaliga; Mici o Mititei"
SUECIA;4.2;Norte de Europa;Corona Sueca;Estocolmo;Medio;Alto;10486941;35.6;"Kottbullar;Fika; Jansson's Temptation"
SUIZA;7.8;Oeste de Europa;Franco Suizo;Berna;Medio;Muy alto;8769741;38.1;"Fondue; Rosti; Raclette"
TURQUÍA;13.1;Sur de Europa;Lira Turca;Ankara;Medio;Muy Bajo;85341241;27.3;"Kebab; Baklava; Dolma"
