carrera,pais_destino,ciudad_destino,universidad_destino,plazas,meses,cert_idioma,nivel_idioma,ranking_uni,exchange_score
Derecho,ALEMANIA,Dresden,Tech. Univ. Dresden,2,10,SI,B2 Aleman,93,7.1
Derecho,ALEMANIA,Frankfurt (Oder),European University Viadrina,1,10,SI,B2 Ingles o B2 Aleman,554,4.6
Derecho,ALEMANIA,Mittweida,Hochschule Mittweida-University of Applied Sciences,1,10,SI,B2 Aleman,558,4.6
Derecho,ALEMANIA,Munich,Ludwig Maximilians Universität Munchen,1,10,SI,B1 Aleman,21,34.3
Derecho,ESLOVENIA,Kranj,Graduate School Of Government In European Studies,1,10,SI,B2 Ingles,686,1
Derecho,FRANCIA,Lille,Universite Du Droit Et De La Sante De Lille,2,10,SI,B2 Frances,250,5.2
Derecho,FRANCIA,Nantes, Université de Nantes,4,10,SI,B1 Frances,310,16.4
Derecho,FRANCIA,Orleans, Universidad de Orleans,2,10,SI,B2 Frances,511,5.2
Derecho,FRANCIA,Nanterre,Universidad de París-Nanterre,3,10,SI,B1 Frances,436,5.2
Derecho,FRANCIA,Paris,Faculté Libre de Droit et dÉconomie Gestion Faco Paris,2,10,SI,B1 Frances,686,1
Derecho,FRANCIA,Pau,Universite De Pau Et Des Pays De L'Adour,2,10,SI,B2 Frances,686,1
Derecho,HUNGRÍA,Budapest, National University of Public Service,2,10,SI,B2 Ingles,686,1
Derecho,ITALIA,Bari,Universita Degli Studi Di Bari,2,10,NO,B1 Italiano,311,16.3
Derecho,ITALIA,Benevento,Universitá degli Studi del Sannio,2,10,NO,B1 Italiano,686,0
Derecho,ITALIA,Bolonia,Universidad de Bologna,2,10,NO,A2 Italiano,48,82.3
Derecho,ITALIA,Cagliari,Universita Degli Studi di Cagliari,1,10,NO,A2 Italiano,686,1
Derecho,ITALIA,Catanzaro,Universidad de Catanzaro,2,10,NO,B1 Italiano,686,1
Derecho,ITALIA,Rende,Università Della Calabria,1,10,NO,B1 Italiano,347,20.8
Derecho,ITALIA,Foggia,University of Foggia,2,10,NO,B1 Italiano,477,79.9
Derecho,ITALIA,Genova,Universita Degli Studi Di Genova,2,10,NO,B1 Italiano,227,56
Derecho,ITALIA,Macerata,Universita Degli Studi Di Macerata,1,10,SI,B1 Italiano,583,2.8
Derecho,ITALIA,Messina, University of Messina,2,10,NO,B1 Italiano,320,19.8
Derecho,ITALIA,Milan,Universidad de Milan-Bicocca,2,10,SI,B1 Italiano,207,16.1
Derecho,ITALIA,Napoles,U. Degli Studi Di Napoli. Federico II,4,10,NO,B1 Italiano,151,11.2
Derecho,ITALIA,Roma,"Universidad de Roma ""La Sapienza""",2,10,SI,B1 Italiano o B1 Ingles,66,53.8
Derecho,ITALIA,Roma,"Universita Degli Studi Di Roma ""Tor Vergata""",1,10,NO,B1 Italiano,168,68.3
Derecho,ITALIA,Roma,Terza Universita Degli Studi Di Roma,2,10,SI,B1 Italiano,334,2.8
Derecho,ITALIA,Roma,Universita Europea Di Roma,2,10,SI,B1 Italiano o B2 Ingles ,686,1
Derecho,ITALIA,Roma, Universitas Mercatorum,2,10,NO,B1 Italiano,686,1
Derecho,ITALIA,Salerno, Universitá degli Studi di Salerno,2,10,NO,A2 Italiano,315,44.5
Derecho,ITALIA,Sassari,Universidad de Sassari,2,10,NO,B1 Italiano,686,1
Derecho,ITALIA,Teramo,Universitá degli Studi de Teramo,2,10,SI,B1 Italiano,686,1
Derecho,ITALIA,Varese,Universidad de Insubria,1,10,NO,B2 Italiano,465,11
Derecho,ITALIA,Padua,Universita Degli Studi di Padova,2,10,SI,A2 Ingles o B1 Ingles,87,75.2
Derecho,LETONIA,Riga,Baltijas Starptautiska Aklademija,1,10,SI,B1 Ingles,686,1
Derecho,LITUANIA,Vilna,Mykolo Romerio Universitetas (Mykolas Romeris University),1,10,SI,B2 Ingles,348,96.3
Derecho,POLONIA,Gdansk,University Of Gdansk (Uniwersytet Gdanski),2,10,SI,B2 Ingles,332,18.9
Derecho,POLONIA,Katowice,Univ. Slaski W. Katowice,2,10,SI,B2 Ingles,463,2.8
Derecho,PORTUGAL,Braga,Universidade Do Minho ,2,10,NO,B1 Portugués,248,9.8
Derecho,PORTUGAL,Castelo Branco,Instituto Politecnico De Castelo Branco,2,10,NO,B1 Portugués,686,1
Derecho,PORTUGAL,Lisboa,Instituto unviersitario de Lisboa,1,10,NO,B2 Portugués,330,100
Derecho,PORTUGAL,Lisboa,Universidade de Lisboa,2,10,SI,B1 Portugués,92,79.4
Derecho,PORTUGAL,Oporto,Universidade do Porto,3,10,NO,B1 Portugués,111,84.5
Derecho,RUMANÍA,Cluj-Napoca,"Universitatea ""Babes-Bolyai"" Din Cluj-Napoca",2,10,SI,B2 Ingles,256,8.8
Ciencia de los Alimentos,FRANCIA,Brest,Universite De Bretagne Occidentale,2,10,SI, B2 Frances,451,5.2
Ciencia de los Alimentos,FRANCIA,Dunkerque,Universite Du Littoral Côte D´Opale,2,10,SI, B2 Frances,663,5.2
Ciencia de los Alimentos,GRECIA,Atenas, University of West Attica,2,10,SI, B2 Ingles,686,1
Ciencia de los Alimentos,GRECIA,Larisa,Technolocial Educational Institution (T.E.I.) of Larissa,1,10,SI, B1 Ingles,686,1
Ciencia de los Alimentos,GRECIA,Salónica, Alexander Technological Educational Institute of Thessaloniki,1,10,SI, B2 Ingles,686,1
Ciencia de los Alimentos,GRECIA,Volos, Panepistimio Thessalias,1,5,SI, B1 Ingles,686,1
Ciencia de los Alimentos,ITALIA,Napoles,U. Degli Studi Di Napoli. Federico II,2,6,NO,B1 Italiano,151,11.2
Ciencia de los Alimentos,ITALIA,Parma,Università Degli Studi di Parma,1,10,NO,A2 Italiano,369,21.6
Ciencia de los Alimentos,ITALIA,Pisa,Universita di Pisa,2,10,SI, A2 Italiano,137,62
Ciencia de los Alimentos,ITALIA,Teramo,Universitá degli Studi de Teramo,2,10,SI, B1 Italiano,686,1
Ciencia de los Alimentos,LITUANIA,Kaunas,Lithuanian University of Health Sciences,2,5,SI, B1 Ingles,686,1
Ciencia de los Alimentos,POLONIA,Breslavia,Wroclaw University of Environmental and Life Sciences,2,10,SI, B2 Ingles,452,53.1
Ciencia de los Alimentos,PORTUGAL,Castelo Branco,Instituto Politecnico de Castelo Branco,2,10,NO,B1 Portugués,686,1
Ciencia de los Alimentos,PORTUGAL,Lisboa, Universidade de Lisboa,4,10,NO,B1 Portugués,92,79.4
Ciencia de los Alimentos,PORTUGAL,Vila Real,Universidade de Tras os Montes E Alto Douro,2,10,NO,B1 Portugués,531,9.8
Veterinaria,ALEMANIA,Berlín,Freie universität Berlin,1,10,SI,B1 Aleman,43,64.6
Veterinaria,ALEMANIA,Munich,Ludwig Maximilians Universität Munchen,1,10,SI,B1 Aleman,21,34.3
Veterinaria,AUSTRIA,Viena,University of Veterinary Medicine,1,5,SI,B2 Aleman o C1 Aleman,686,1
Veterinaria,BÉLGICA,Liege,Universite de Liege,2,10,SI,B1 Frances,166,23.5
Veterinaria,ESLOVAQUIA,Košice, Kosice Veterinary University,6,10,SI,B1 Ingles,686,1
Veterinaria,ITALIA,Bolonia,Universidad de Bologna,2,10,NO,A2 Italiano,48,82.3
Veterinaria,ITALIA,Milan,Univ. Degli Studi di Milano,4,10,NO,B1 Italiano,113,26.7
Veterinaria,ITALIA,Padua,Universita Degli Studi di Padova,3,10,SI,B1 Ingles,87,75.2
Veterinaria,ITALIA,Pisa,Universita di Pisa,3,10,SI,A2 Italiano,137,62
Veterinaria,ITALIA,Turín,Universita di Torino,2,10,NO,A2 Italiano,139,21.6
Veterinaria,POLONIA,Breslavia,Wroclaw University of Environmental and Life Sciences,3,10,SI,B2 Ingles,452,53.1
Veterinaria,PORTUGAL,Évora,Universidade de Evora,2,10,SI,B1 Portugués,686,1
Veterinaria,PORTUGAL,Lisboa, Universidade de Lisboa,2,10,NO,B1 Portugués,92,79.4
Veterinaria,PORTUGAL,Vila Real,Universidade de Tras os Montes E Alto Douro,2,10,NO,B1 Portugués,531,9.8
Veterinaria,RUMANÍA,Bucarest, University of Agronomic Sciences and Vet. Medicine Bucharest,2,10,SI,B1 Ingles,686,1
Biología,ALEMANIA,Lecce,Universidad de Salento (Lecce),1,10,SI,B1 Aleman,420,13.4
Biología,ALEMANIA,Gottingen,G.A.U. Gottingen,2,10,SI,B2 Aleman,82,4.6
Biología,BÉLGICA,Liege,Universite de Liege,2,10,SI,B1 Frances o B1 Ingles,166,23.5
Biología,BÉLGICA,Namur,Facultes Univ. Notre Dame de La Paix,2,10,SI,B1 Ingles o B1 Frances ,366,10.8
Biología,FRANCIA,Aviñón,Universite de Avignon Et Pays Du Vaucluse,1,10,SI,B1 Frances,495,5.2
Biología,FRANCIA,Dijon,Universite de Bourgogne,2,10,SI,B2 Frances,686,1
Biología,FRANCIA,Montpellier,Universite de Montpellier,1,10,SI,B1 Frances,199,5.2
